"Activo","Puede publicar","Descripción","Unidad de medida","Unidad de medida compra","Descripción de compra","Código de barras","Impuestos del cliente","Impuestos de proveedor","Cantidad a mano","Coste","Nombre","Puede ser comprado","Categoría del Producto","Referencia interna","Tipo de producto","Precio de venta","Puede ser vendido"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Adzuki cuit amb kombu 350gr, NATURALMENTEBIO;Multiplicador=1;","Unidades","Unidades","Adzuki cuit amb kombu 350gr, NATURALMENTEBIO","8414121190083.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","5.0","1.62","Adzuki cuit amb kombu 350gr, NATURALMENTEBIO","True","Sin categoría","nat0009","Almacenable","2.07","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Melmelada de tomàquet verd i llimona 120 gr, NATURALMENTEBIO;Multiplicador=1;","Unidades","Unidades","Melmelada de tomàquet verd i llimona 120 gr, NATURALMENTEBIO","8414121190212.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","3.0","1.68","Melmelada de tomàquet verd i llimona 120 gr, NATURALMENTEBIO","True","Sin categoría","nat0010","Almacenable","2.23","True"
"False","False","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=NaturCup. Copa Menstrual. Talla 1;Multiplicador=1;","Unidades","Unidades","NaturCup. Copa Menstrual. Talla 1","8437012835016.0","IVA 21% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","NaturCup. Copa Menstrual. Talla 1","True","Sin categoría","nat0492","Almacenable","16.13","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cervesa Kolsch, NINKASI;Multiplicador=1;","Unidades","Unidades","Cervesa Kolsch, NINKASI","","IVA 21% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","1.76","Cervesa Kolsch, NINKASI","True","Sin categoría","nin0001","Almacenable","2.24","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cervesa Pale Ale, NINKASI;Multiplicador=1;","Unidades","Unidades","Cervesa Pale Ale, NINKASI","","IVA 21% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","1.87","Cervesa Pale Ale,( TATE )  NINKASI","True","Sin categoría","nin0002","Almacenable","2.37","True"
"False","False","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Cervesa Micaela (american stouth), NINKASI;Multiplicador=1;","Unidades","Unidades","Cervesa Micaela (american stouth), NINKASI","","IVA 21% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.1","Cervesa Micaela (american stouth), NINKASI","True","Sin categoría","nin003","Almacenable","2.66","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Articles oferta;Multiplicador=1;","Unidades","Unidades","Articles oferta","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","Articles oferta","True","Sin categoría","ofe0001","Almacenable","0.0","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Melmelada de maduixa, 240 gr.,CAL NOTARI;Multiplicador=1;","kg","kg","Melmelada de maduixa, 240 gr.,CAL NOTARI","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","8.0","3.5","Melmelada de maduixa, 240 gr.,CAL NOTARI","True","Sin categoría","oli0001","Almacenable","4.65","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Paté de carxofa, 110 gr. CAL NOTARI;Multiplicador=1;","kg","kg","Paté de carxofa, 110 gr. CAL NOTARI","","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.8","Paté de carxofa, 110 gr. CAL NOTARI","True","Sin categoría","oli0002","Almacenable","3.58","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Oli de Flix i Mequinensa -5l-, OLIFLIX;Multiplicador=1;","Unidades","Unidades","Oli de Flix i Mequinensa -5l-, OLIFLIX","8437003230066.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","1.0","25.7272","Oli de Flix i Mequinensa -5l-, OLIFLIX","True","Sin categoría","oli0734","Almacenable","32.93","True"
"False","False","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Melmelada de poma i canyella 170 gr, CAN MORAGUES;Multiplicador=1;","Unidades","Unidades","Melmelada de poma i canyella 170 gr, CAN MORAGUES","8437015284026.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","Melmelada de poma i canyella 170 gr, CAN MORAGUES","True","Sin categoría","ony0001","Almacenable","2.68","True"
"False","False","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Melmelada de figa i ratafia 170 gr, CAN MORAGUES;Multiplicador=1;","Unidades","Unidades","Melmelada de figa i ratafia 170 gr, CAN MORAGUES","8437015284019.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","0.0","Melmelada de figa i ratafia 170 gr, CAN MORAGUES","True","Sin categoría","ony0002","Almacenable","2.68","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cresta d,escalivada i formatge 250gr, FUNDACIÓ ONYAR;Multiplicador=1;","Unidades","Unidades","Cresta d,escalivada i formatge 250gr, FUNDACIÓ ONYAR","8436553100218.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","10.0","2.73","Cresta d&#39;escalivada i formatge 250gr, FUNDACIÓ ONYAR","True","Sin categoría","ony0003","Almacenable","3.63","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Ravioli amb fornatge de cabra i pastanaga 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Ravioli amb fornatge de cabra i pastanaga 250 gr, FUNDACIO ONYAR","8436553105015.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","8.0","2.58","Ravioli amb fornatge de cabra i pastanaga 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0004","Almacenable","3.43","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Ravioli amb fornatge blau i ceba caramelitzada 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Ravioli amb fornatge blau i ceba caramelitzada 250 gr, FUNDACIO ONYAR","8436553105053.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","7.0","2.58","Ravioli amb formatge blau i ceba caramelitzada 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0005","Almacenable","3.43","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Ravioli amb espinac, poma i pansa 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Ravioli amb espinac, poma i pansa 250 gr, FUNDACIO ONYAR","8436553105039.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","8.0","2.58","Ravioli amb espinac, poma i pansa 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0006","Almacenable","3.43","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Ravioli amb tomàquet, alfàbrega i oliva 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Ravioli amb tomàquet, alfàbrega i oliva 250 gr, FUNDACIO ONYAR","8436553105046.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","5.0","2.58","Ravioli amb tomàquet, alfàbrega i oliva 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0007","Almacenable","3.43","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Ravioli amb xiitake i carbassó 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Ravioli amb xiitake i carbassó 250 gr, FUNDACIO ONYAR","8436553105022.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","2.58","Ravioli amb xiitake i carbassó 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0008","Almacenable","3.43","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Spaghetti d,ou 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Spaghetti d,ou 250 gr, FUNDACIO ONYAR","8436553105091.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","27.745","1.55","Spaghetti d&#39;ou 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0009","Almacenable","2.26","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Tallarines d,espinac 250 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Tallarines d,espinac 250 gr, FUNDACIO ONYAR","8436553105084.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","15.0","1.79","Tallarines d&#39;espinac 250 gr, FUNDACIO ONYAR","True","Sin categoría","ony0010","Almacenable","2.38","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pizza margarita 340 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Pizza margarita 340 gr, FUNDACIO ONYAR","8436553100577.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","2.0","3.42","Pizza margarita 340 gr, FUNDACIO ONYAR","True","Sin categoría","ony0011","Almacenable","4.55","False"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Formatge blau danès 100gr, NATURMAELK;Multiplicador=1;","Unidades","Unidades","Formatge blau danès 100gr, NATURMAELK","5701852256014.0","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","2.0","2.08","Formatge blau danès 100gr, NATURMAELK","True","Sin categoría","ony0012","Almacenable","2.66","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pizza espinac i xampinyó 385 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Pizza espinac i xampinyó 385 gr, FUNDACIO ONYAR","8436553100522.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","3.9","Pizza espinac i xampinyó 385 gr, FUNDACIO ONYAR","True","Sin categoría","ony0013","Almacenable","5.19","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Formatge parmesà ratllat (parmigiano reggiano) 50 gr, UNITAT, ZANETTI;Multiplicador=1;","Unidades","Unidades","Formatge parmesà ratllat (parmigiano reggiano) 50 gr, UNITAT, ZANETTI","8002710630104.0","IVA 4% (Bienes)","21% IVA soportado (bienes corrientes)","15.0","1.46","Formatge parmesà ratllat (parmigiano reggiano) 50 gr, UNITAT, ZANETTI","True","Sin categoría","ony0014","Almacenable","1.87","True"
"True","True","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Pizza de pernil dolç i olives 360 gr, FUNDACIO ONYAR;Multiplicador=1;","Unidades","Unidades","Pizza de pernil dolç i olives 360 gr, FUNDACIO ONYAR","8436553100515.0","IVA 10% (Bienes)","21% IVA soportado (bienes corrientes)","0.0","4.29","Pizza de pernil dolç i olives 360 gr, FUNDACIO ONYAR","True","Sin categoría","ony0015","Almacenable","5.71","True"
