"factualizado","bloqueado","equivalencia","idsubcuentairpfcom","idsubcuentacom","stockmin","observaciones","codbarras","codimpuesto","stockfis","stockmax","costemedio","preciocoste","tipocodbarras","nostock","codsubcuentacom","descripcion","codsubcuentairpfcom","secompra","codfamilia","codfabricante","imagen","controlstock","referencia","tipo","pvp","sevende","publico","partnumber","trazabilidad"
"2022-09-09","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=unitat;Unitat_Compra=unitat;Nom_Compra=Batut de xocolata ALTERNATIVA 3;Multiplicador=1;","8435030574719","IVA10","9","0","1.34","0","Code39","0",NULL,"Batut de xocolata, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0009",NULL,"1.71","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=cafè Perú-Tanzania mòlt 250gr ALTERNATIVA 3;Multiplicador=1;","8435030572241","IVA10","2","0","2.52","0","Code39","0",NULL,"cafè Perú-Tanzania mòlt 250gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0010",NULL,"3.23","1","0",,"0"
"2022-07-14","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cacau pur 150 gr ALTERNATIVA 3;Multiplicador=1;","8435030575006","IVA10","7","0","2.32","0","Code39","0",NULL,"Cacau pur 150 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0011",NULL,"3.09","1","0",,"0"
"2018-06-26","1",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè en grà 250 gr ALTERNATIVA 3;Multiplicador=1;",,"IVA10","0","0","3.42836","3.47","Code39","0",NULL,"Cafè en grà 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0012",NULL,"4.4","1","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen=;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè hostelería ALTERNATIVA 3;Multiplicador=1;",,"IVA10","0","0","11.18","0","Code39","0",NULL,"Cafè hostelería, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0013",NULL,"13.83","0","0",,"0"
"2022-03-15","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè soluble 100 gr ALTERNATIVA 3;Multiplicador=1;","8435030571343","IVA10","5","0","5.28","4.87","Code39","0",NULL,"Cafè soluble 100 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0014",NULL,"6.76","1","0",,"0"
"2021-12-14","0",NULL,NULL,NULL,"0","Origen=;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cafè soluble descafeinat 100 gr ALTERNATIVA 3;Multiplicador=1;","8435030572074","IVA10","6","0","6.1","5.84","Code39","0",NULL,"Cafè soluble descafeinat 100 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0015",NULL,"7.81","1","0",,"0"
"2018-06-25","1",NULL,NULL,NULL,"0","Origen=;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Sucre de canya paraguai, 300 gr en tubs;Multiplicador=1;",,"IVA10","0","0","2.36132","0","Code39","0",NULL,"Sucre de canya paraguai, 300 gr en tubs",NULL,"1","6","alternat",NULL,"1","alt0016",NULL,"3.04","0","0",,"0"
"2022-01-20","0",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=kg;Unitat_Compra=kg;Nom_Compra=Sucre de canya panela 1kg, ALTERNATIVA 3;Multiplicador=1;","8435030533020","IVA10","9","0","3.13","3.37","Code39","0",NULL,"Sucre de canya panela 1kg, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0017",NULL,"4","1","0",,"0"
"2018-06-26","1",NULL,NULL,NULL,"0","Origen= ;Visible=Si;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Sucre de coco 250 gr, ALTERNATIVA 3;Multiplicador=1;","8435030573965","IVA10","0","0","3.1","3.1","Code39","0",NULL,"Sucre de coco 250 gr, ALTERNATIVA 3",NULL,"1","6","alternat",NULL,"1","alt0018",NULL,"3.92","1","0",,"0"
"2019-12-17","1",NULL,NULL,NULL,"0","Origen= ;Visible=No;Unitat_Venda=;Unitat_Compra=;Nom_Compra=Cervesa Pilsener 33 cl;Multiplicador=1;",,"IVA21","0","0","1.69","0","Code39","0",NULL,"Cervesa Pilsener 33 cl",NULL,"1","13","alternat",NULL,"1","alt0019",NULL,"2.09","1","0",,"0"
